UserID,Date,Points
81000001,2025-06-12,1
81000002,2025-06-12,1
81000003,2025-06-12,1
81000004,2025-06-12,1
81000005,2025-06-13,1
81000006,2025-06-13,1
81000007,2025-06-13,1
81000008,2025-06-13,1
81000009,2025-06-14,1
81000010,2025-06-14,1
81000011,2025-06-14,1
81000012,2025-06-14,1
81000013,2025-06-15,1
81000014,2025-06-15,1
81000015,2025-06-15,1
81000016,2025-07-16,1
81000017,2025-07-16,1
81000018,2025-07-16,1
81000019,2025-07-16,1
81000020,2025-07-16,1
81000021,2025-07-16,1
81000022,2025-07-16,1
81000023,2025-07-16,1
81000024,2025-07-16,1
81000025,2025-07-16,1
81000026,2025-07-16,1
81000027,2025-07-16,1
81000028,2025-07-16,1
81000029,2025-07-16,1
81000030,2025-07-16,1
81000001,2025-07-17,1
81000002,2025-07-17,1
81000003,2025-07-17,1
81000004,2025-07-17,1
81000005,2025-07-17,1
81000006,2025-07-17,1
81000007,2025-07-17,1
81000008,2025-07-17,1
81000009,2025-07-17,1
81000010,2025-07-17,1
81000011,2025-07-17,1
81000012,2025-07-17,1
81000013,2025-07-17,1
81000014,2025-07-17,1
81000015,2025-07-17,1
81000001,2025-07-18,10
81000002,2025-07-18,10
81000003,2025-07-18,10
81000004,2025-07-18,10
81000005,2025-07-18,10
81000006,2025-07-18,10
81000007,2025-07-18,10
81000008,2025-07-18,10
81000009,2025-07-18,10
81000010,2025-07-18,10
81000011,2025-07-18,10
81000012,2025-07-18,10
81000013,2025-07-18,10
81000014,2025-07-18,10
81000015,2025-07-18,10
