UserID,Date,Points
102938475,2025-07-19,1
201938571,2025-07-19,1
382019485,2025-07-19,1
471928301,2025-07-19,1
472910482,2025-07-19,1
481039284,2025-07-19,1
492810385,2025-07-19,1
502819374,2025-07-19,1
719384720,2025-07-19,1
792810394,2025-07-19,1
902837419,2025-07-19,1
918273049,2025-07-19,1
930284719,2025-07-19,1
102938475,2025-06-18,1
201938571,2025-06-18,1
382019485,2025-06-18,1
471928301,2025-06-18,1
472910482,2025-06-18,1
481039284,2025-06-18,1
492810385,2025-06-18,1
502819374,2025-06-18,1
719384720,2025-06-18,1
792810394,2025-06-18,1
902837419,2025-06-18,1
918273049,2025-06-18,1
930284719,2025-06-18,1
